date,time,amp1,amp2,amp3,v1,v2,v3
01.08.22,12:00:01,3.91,3.48,0.07,33.24,34.06,31.54
01.08.22,13:00:01,3.11,1.03,0.06,33.65,35.37,32.80
01.08.22,14:00:01,2.34,0.95,0.07,33.98,35.18,32.63
01.08.22,15:00:01,2.11,0.91,0.06,34.23,35.31,32.76
01.08.22,16:00:01,2.00,0.88,0.05,34.27,35.36,32.80
01.08.22,17:00:01,1.88,0.87,0.04,32.08,34.85,32.30
01.08.22,18:00:01,1.17,0.73,0.05,28.41,31.07,28.71
01.08.22,19:00:01,0.75,0.51,0.06,28.07,29.40,27.12
01.08.22,20:00:02,0.18,0.09,0.06,27.57,28.83,26.58
01.08.22,21:00:02,0.02,0.10,0.06,13.00,11.54,10.38
01.08.22,22:00:01,0.02,0.10,0.06,0.30,0.06,0.02
01.08.22,23:00:01,0.02,0.10,0.06,0.37,0.09,0.03
02.08.22,00:00:01,0.02,0.10,0.06,0.49,0.12,0.05
02.08.22,01:00:01,0.02,0.10,0.06,1.74,0.42,0.27
02.08.22,03:00:01,0.03,0.10,0.06,0.25,0.06,0.01
02.08.22,04:00:01,0.03,0.11,0.07,2.24,1.55,1.19
02.08.22,05:00:01,0.03,0.05,0.07,25.22,24.47,22.26
02.08.22,06:00:01,0.18,0.06,0.07,27.48,26.16,23.78
02.08.22,07:00:01,0.16,0.07,0.07,27.71,26.08,23.66
02.08.22,08:00:01,1.72,1.23,0.07,30.09,28.21,25.88
02.08.22,09:00:01,2.82,2.01,0.07,31.39,31.34,28.96
02.08.22,10:00:01,4.50,2.59,0.07,32.14,34.72,32.18
02.08.22,11:00:01,5.52,1.14,0.05,32.28,36.21,33.62
02.08.22,12:00:01,3.31,1.12,0.06,30.46,35.14,32.60
02.08.22,13:00:01,3.10,1.07,0.06,32.07,36.07,33.47
02.08.22,14:00:01,2.23,1.00,0.06,32.61,34.94,32.38
02.08.22,15:00:01,1.67,0.97,0.06,30.17,33.52,31.05
02.08.22,16:00:01,1.98,0.89,0.06,34.73,36.57,33.98
02.08.22,17:00:01,1.95,0.89,0.04,33.95,36.15,33.57
02.08.22,18:00:01,1.43,0.87,0.03,32.07,36.03,33.45
02.08.22,19:00:01,0.41,0.46,0.04,27.14,29.47,27.21
02.08.22,20:00:01,0.20,0.15,0.05,27.37,28.95,26.72
02.08.22,21:00:01,0.01,0.09,0.05,13.73,12.50,11.30
02.08.22,22:00:01,0.01,0.09,0.05,0.10,0.05,0.02
02.08.22,23:00:01,0.02,0.09,0.06,0.00,0.02,0.00
03.08.22,00:00:01,0.02,0.09,0.06,0.00,0.02,0.00
03.08.22,01:00:01,0.02,0.10,0.06,0.00,0.02,0.00
03.08.22,03:00:02,0.02,0.10,0.06,0.00,0.02,0.00
03.08.22,04:00:01,0.02,0.10,0.06,3.86,2.36,1.85
03.08.22,05:00:01,0.02,0.06,0.07,27.06,25.20,23.16
03.08.22,06:00:01,0.44,0.28,0.07,27.21,26.27,24.02
03.08.22,07:00:01,1.28,0.94,0.07,29.36,27.31,24.93
03.08.22,08:00:01,1.26,0.97,0.06,28.85,27.58,25.15
03.08.22,09:00:01,2.43,2.02,0.06,30.83,29.07,26.64
03.08.22,10:00:01,4.27,3.76,0.06,30.82,31.04,28.56
03.08.22,11:00:01,3.37,2.79,0.06,30.35,31.08,28.62
03.08.22,12:00:01,4.16,4.24,0.06,32.31,32.87,30.31
03.08.22,13:00:01,3.66,3.15,0.05,33.72,34.37,31.75
03.08.22,14:00:01,3.25,1.06,0.05,33.78,35.58,32.91
03.08.22,15:00:01,2.58,0.94,0.05,33.95,36.07,33.39
03.08.22,16:00:01,2.27,0.90,0.05,30.91,35.68,33.04
03.08.22,17:00:01,1.54,0.88,0.05,29.32,33.88,31.32
03.08.22,18:00:01,1.05,0.82,0.05,28.77,30.50,28.10
03.08.22,19:00:01,0.34,0.21,0.05,27.82,29.11,26.79
03.08.22,20:00:01,0.03,0.05,0.05,27.48,26.73,24.54
03.08.22,21:00:01,0.02,0.10,0.06,10.10,8.07,7.14
03.08.22,22:00:01,0.02,0.10,0.06,0.66,0.21,0.11
03.08.22,23:00:01,0.02,0.10,0.06,0.45,0.14,0.01
04.08.22,00:00:01,0.02,0.10,0.06,0.32,0.08,0.00
04.08.22,01:00:01,0.02,0.10,0.06,0.09,0.03,0.00
04.08.22,02:00:01,0.02,0.10,0.06,0.23,0.05,0.00
04.08.22,03:00:01,0.03,0.10,0.06,0.10,0.03,0.00
04.08.22,04:00:01,0.03,0.10,0.07,3.11,1.88,1.48
04.08.22,05:00:01,0.03,0.06,0.07,26.21,24.53,22.56
04.08.22,06:00:01,0.38,0.18,0.07,28.20,26.22,24.09
04.08.22,07:00:01,1.38,0.89,0.07,29.71,27.09,24.90
04.08.22,08:00:01,1.92,1.48,0.07,30.40,28.07,25.82
04.08.22,09:00:01,3.56,2.62,0.07,32.99,33.83,31.29
04.08.22,10:00:01,4.47,1.90,0.06,31.45,35.21,32.62
04.08.22,11:00:02,3.92,1.18,0.05,32.42,36.57,33.91
04.08.22,12:00:01,3.71,1.03,0.05,32.71,36.57,33.93
04.08.22,13:00:01,2.97,0.95,0.05,32.74,36.21,33.58
04.08.22,14:00:01,2.34,0.89,0.04,34.70,36.68,34.03
04.08.22,15:00:02,2.08,0.85,0.04,35.51,36.85,34.18
04.08.22,16:00:01,1.96,0.83,0.04,35.63,36.87,34.20
04.08.22,17:00:01,1.92,0.83,0.03,33.89,36.60,33.92
04.08.22,18:00:01,1.39,0.85,0.03,31.14,33.89,31.27
04.08.22,19:00:01,0.63,0.56,0.04,28.23,30.70,28.17
