date,time,amp1,amp2,amp3,v1,v2,v3
01.09.22,01:00:01,0.07,0.08,0.04,0.00,0.02,0.00
01.09.22,02:00:01,0.07,0.08,0.04,0.00,0.02,0.00
01.09.22,03:00:01,0.07,0.08,0.04,0.00,0.02,0.00
01.09.22,04:00:02,0.07,0.08,0.04,0.00,0.02,0.00
01.09.22,05:00:01,0.07,0.08,0.05,6.41,5.27,4.35
01.09.22,06:00:01,0.05,0.03,0.05,28.50,25.87,23.51
01.09.22,07:00:01,0.42,0.33,0.05,28.98,27.01,24.60
01.09.22,08:00:01,1.08,0.54,0.05,33.74,27.57,25.12
01.09.22,09:00:01,1.38,1.84,0.05,37.18,32.03,29.38
01.09.22,10:00:01,1.42,1.42,0.05,36.51,37.13,34.31
01.09.22,11:00:01,1.36,1.12,0.04,35.99,36.66,33.96
01.09.22,12:00:01,1.16,1.02,0.04,35.74,36.18,33.50
01.09.22,13:00:01,1.15,0.96,0.04,35.04,35.72,33.06
01.09.22,14:00:01,1.11,0.93,0.03,35.43,35.67,33.01
01.09.22,15:00:01,1.11,0.91,0.03,35.24,35.57,32.93
01.09.22,16:00:01,1.14,0.87,0.02,35.11,36.02,33.42
01.09.22,17:00:01,1.16,0.87,0.02,35.15,36.28,33.75
01.09.22,18:00:01,0.79,0.77,0.02,30.95,34.31,31.90
01.09.22,19:00:01,0.13,0.16,0.02,28.05,28.88,26.67
01.09.22,20:00:01,0.06,0.07,0.03,10.37,9.96,8.90
01.09.22,21:00:01,0.06,0.07,0.03,0.00,0.04,0.00
01.09.22,22:00:01,0.06,0.07,0.03,0.00,0.03,0.00
01.09.22,23:00:01,0.06,0.07,0.03,0.00,0.03,0.00
02.09.22,00:00:01,0.06,0.07,0.04,0.00,0.02,0.00
02.09.22,01:00:01,0.07,0.08,0.04,0.00,0.03,0.00
02.09.22,02:00:01,0.07,0.08,0.04,0.00,0.04,0.00
02.09.22,03:00:01,0.07,0.08,0.04,0.00,0.04,0.00
02.09.22,04:00:01,0.07,0.08,0.04,0.00,0.04,0.00
02.09.22,05:00:01,0.07,0.08,0.04,5.67,4.57,3.73
02.09.22,06:00:01,0.04,0.02,0.04,28.18,25.76,23.44
02.09.22,07:00:01,0.40,0.30,0.04,29.19,27.03,24.66
02.09.22,08:00:01,1.03,0.55,0.04,33.38,27.51,25.11
02.09.22,09:00:01,1.34,1.95,0.04,36.37,29.88,27.36
02.09.22,10:00:01,1.42,3.69,0.04,36.33,34.78,32.03
02.09.22,11:00:01,1.37,3.04,0.04,36.02,35.39,32.63
02.09.22,12:00:01,1.16,3.28,0.04,35.77,34.74,32.19
02.09.22,13:00:01,1.13,3.55,0.04,35.46,34.14,31.43
02.09.22,14:00:01,1.12,3.66,0.03,35.37,33.88,31.25
02.09.22,15:00:01,1.12,1.12,0.02,35.51,35.77,33.03
02.09.22,17:00:01,1.17,0.95,0.01,35.14,35.99,33.25
02.09.22,18:00:01,0.73,0.73,0.01,30.51,33.98,31.35
02.09.22,20:00:01,0.02,0.02,0.02,18.47,18.01,16.32
02.09.22,21:00:01,0.05,0.06,0.02,0.01,0.04,0.00
02.09.22,22:00:01,0.06,0.07,0.03,0.00,0.03,0.00
02.09.22,23:00:01,0.06,0.07,0.03,0.00,0.03,0.00
03.09.22,00:00:01,0.06,0.07,0.03,0.00,0.03,0.00
03.09.22,01:00:01,0.06,0.07,0.03,0.00,0.02,0.00
03.09.22,02:00:01,0.06,0.07,0.03,0.00,0.02,0.00
03.09.22,03:00:01,0.06,0.07,0.03,0.00,0.02,0.00
03.09.22,04:00:01,0.06,0.07,0.03,0.03,0.02,0.00
03.09.22,05:00:01,0.06,0.07,0.03,3.91,3.21,2.50
03.09.22,06:00:01,0.04,0.05,0.04,27.58,24.89,22.61
03.09.22,07:00:01,0.02,0.03,0.04,27.83,25.17,22.88
03.09.22,08:00:01,0.39,0.29,0.04,27.79,26.99,24.61
03.09.22,09:00:01,0.78,0.64,0.04,29.61,27.25,24.88
03.09.22,10:00:01,1.10,0.91,0.04,30.31,28.73,26.28
03.09.22,11:00:01,0.87,0.82,0.04,31.26,29.24,26.77
03.09.22,12:00:01,1.06,1.00,0.04,31.85,30.09,27.56
03.09.22,13:00:01,0.96,1.28,0.04,33.67,31.28,28.69
03.09.22,14:00:01,1.01,1.69,0.04,37.04,36.54,33.73
03.09.22,16:00:01,0.95,1.04,0.04,34.83,34.23,31.67
03.09.22,17:00:01,0.99,0.94,0.03,34.03,34.76,32.28
03.09.22,18:00:01,0.60,0.59,0.03,31.10,31.98,29.54
03.09.22,19:00:01,0.11,0.11,0.04,28.26,28.82,26.56
03.09.22,20:00:01,0.07,0.08,0.04,9.64,9.26,8.24
03.09.22,21:00:01,0.07,0.08,0.04,0.00,0.05,0.00
03.09.22,22:00:01,0.07,0.08,0.04,0.00,0.03,0.00
03.09.22,23:00:01,0.07,0.08,0.04,0.23,0.10,0.00
04.09.22,00:00:01,0.07,0.09,0.04,0.45,0.18,0.00
04.09.22,01:00:02,0.07,0.09,0.04,0.20,0.07,0.00
04.09.22,02:00:01,0.08,0.09,0.05,0.47,0.18,0.00
04.09.22,03:00:01,0.08,0.09,0.05,0.60,0.24,0.00
04.09.22,04:00:01,0.08,0.09,0.05,0.61,0.23,0.00
04.09.22,05:00:01,0.08,0.09,0.05,2.26,1.30,0.66
04.09.22,06:00:01,0.05,0.06,0.05,25.97,24.00,21.70
04.09.22,08:00:01,0.61,0.47,0.05,29.48,27.02,24.78
04.09.22,09:00:01,1.05,1.10,0.05,32.76,29.78,27.33
04.09.22,10:00:01,1.07,1.21,0.06,33.29,30.92,28.46
04.09.22,11:00:01,1.28,1.60,0.05,35.04,31.99,29.50
04.09.22,13:00:01,0.98,1.21,0.05,36.32,35.02,32.43
04.09.22,14:00:01,0.97,1.01,0.05,38.26,38.37,35.59
04.09.22,15:00:01,0.98,0.93,0.05,37.84,38.40,35.61
04.09.22,16:00:01,1.00,0.88,0.04,37.86,38.58,35.87
04.09.22,17:00:01,1.04,0.84,0.04,36.85,38.44,35.74
04.09.22,18:00:02,0.71,0.72,0.04,31.80,36.05,33.45
04.09.22,19:00:01,0.04,0.06,0.04,28.60,28.76,26.39
04.09.22,20:00:01,0.08,0.09,0.05,7.53,7.24,6.39
04.09.22,21:00:01,0.08,0.09,0.05,0.00,0.06,0.00
04.09.22,22:00:01,0.08,0.09,0.05,0.00,0.03,0.00
04.09.22,23:00:01,0.08,0.09,0.05,0.00,0.03,0.00
05.09.22,00:00:01,0.08,0.09,0.05,0.00,0.02,0.00
05.09.22,01:00:01,0.08,0.10,0.05,0.00,0.02,0.00
05.09.22,02:00:01,0.09,0.10,0.06,0.00,0.02,0.00
05.09.22,03:00:01,0.09,0.10,0.06,0.15,0.08,0.00
05.09.22,04:00:01,0.09,0.10,0.06,0.35,0.15,0.00
05.09.22,05:00:01,0.09,0.10,0.06,3.54,2.58,1.88
05.09.22,06:00:01,0.01,0.03,0.06,27.69,25.42,23.04
05.09.22,07:00:01,0.74,0.50,0.06,30.61,27.27,24.81
05.09.22,08:00:01,1.03,0.55,0.06,34.37,26.95,24.75
05.09.22,09:00:01,1.23,1.86,0.06,38.22,33.06,30.76
05.09.22,10:00:01,1.28,1.30,0.06,37.24,37.76,35.33
05.09.22,11:00:01,1.04,1.04,0.06,37.21,37.72,35.30
05.09.22,12:00:01,1.01,0.99,0.05,36.18,36.11,33.76
05.09.22,13:00:01,0.96,0.89,0.06,37.04,37.41,34.99
05.09.22,14:00:01,0.94,0.85,0.05,36.80,37.07,34.67
05.09.22,15:00:01,0.95,0.83,0.05,36.42,36.80,34.40
05.09.22,16:00:01,0.94,0.83,0.04,36.42,36.82,34.42
05.09.22,17:00:01,0.97,0.82,0.03,35.92,36.91,34.50
05.09.22,18:00:01,0.71,0.72,0.04,31.20,34.54,32.21
