date,time,amp1,amp2,amp3,v1,v2,v3
01.01.23,01:00:01,0.74,0.09,0.05,0.00,0.20,0.00
01.01.23,02:00:01,0.74,0.09,0.05,0.00,0.18,0.00
01.01.23,03:00:02,0.74,0.09,0.05,0.00,0.19,0.00
01.01.23,04:00:01,0.74,0.09,0.05,0.00,0.28,0.00
01.01.23,05:00:01,0.74,0.09,0.05,0.00,0.26,0.00
01.01.23,06:00:01,0.74,0.09,0.05,0.00,0.19,0.00
01.01.23,07:00:01,0.74,0.09,0.05,0.00,0.18,0.00
01.01.23,08:00:01,0.74,0.09,0.05,0.85,3.64,0.88
01.01.23,10:00:01,0.74,0.09,0.05,20.70,36.55,22.02
01.01.23,11:00:01,0.74,0.09,0.05,31.75,41.65,26.21
01.01.23,12:00:01,0.74,0.09,0.05,33.13,41.62,27.67
01.01.23,13:00:01,0.75,0.09,0.05,33.28,41.13,30.20
01.01.23,14:00:01,0.74,0.09,0.05,32.82,40.98,33.52
01.01.23,15:00:01,0.74,0.08,0.05,31.03,40.66,27.11
01.01.23,16:00:01,0.75,0.09,0.05,19.97,37.76,26.20
01.01.23,17:00:01,0.74,0.09,0.05,3.17,13.08,6.27
01.01.23,18:00:01,0.74,0.09,0.05,0.00,0.27,0.00
01.01.23,19:00:01,0.74,0.09,0.05,0.00,0.29,0.00
01.01.23,20:00:01,0.74,0.09,0.05,0.00,0.26,0.00
01.01.23,21:00:01,0.74,0.10,0.06,0.00,0.32,0.00
01.01.23,23:00:01,0.74,0.09,0.05,0.00,0.36,0.00
02.01.23,00:00:01,0.74,0.09,0.06,0.00,0.29,0.00
02.01.23,01:00:01,0.74,0.10,0.06,0.00,0.24,0.00
02.01.23,02:00:01,0.75,0.10,0.05,0.00,0.20,0.00
02.01.23,03:00:02,0.74,0.10,0.05,0.00,0.19,0.00
02.01.23,04:00:01,0.75,0.09,0.05,0.00,0.16,0.00
02.01.23,05:00:01,0.74,0.09,0.05,0.00,0.17,0.00
02.01.23,06:00:01,0.74,0.09,0.06,0.00,0.16,0.00
02.01.23,07:00:01,0.74,0.09,0.06,0.00,0.16,0.00
02.01.23,08:00:01,0.75,0.10,0.05,0.84,3.97,1.30
02.01.23,09:00:01,0.75,0.09,0.06,14.23,33.59,19.98
02.01.23,10:00:01,0.75,0.09,0.05,27.40,40.42,24.76
02.01.23,11:00:01,0.75,0.09,0.05,31.09,41.15,26.97
02.01.23,12:00:01,0.75,0.09,0.05,32.98,41.27,34.03
02.01.23,13:00:01,0.75,0.09,0.05,33.17,40.76,34.69
02.01.23,14:00:01,0.75,0.09,0.05,32.66,40.47,33.60
02.01.23,15:00:01,0.75,0.09,0.05,31.22,40.25,24.78
02.01.23,16:00:01,0.75,0.09,0.06,19.55,37.15,19.37
02.01.23,17:00:01,0.75,0.10,0.06,2.78,12.04,2.56
02.01.23,18:00:01,0.75,0.10,0.06,0.00,0.28,0.00
02.01.23,19:00:01,0.75,0.10,0.06,0.00,0.31,0.00
02.01.23,20:00:01,0.75,0.10,0.06,0.00,0.37,0.00
02.01.23,21:00:01,0.75,0.10,0.06,0.00,0.39,0.00
02.01.23,22:00:01,0.75,0.10,0.06,0.00,0.37,0.00
02.01.23,23:00:01,0.75,0.10,0.06,0.00,0.35,0.00
03.01.23,00:00:01,0.75,0.10,0.06,0.00,0.36,0.00
03.01.23,01:00:01,0.75,0.10,0.06,0.00,0.34,0.00
03.01.23,02:00:01,0.75,0.10,0.06,0.00,0.28,0.00
03.01.23,03:00:01,0.75,0.10,0.06,0.00,0.26,0.00
03.01.23,04:00:01,0.75,0.10,0.06,0.00,0.28,0.00
03.01.23,05:00:01,0.75,0.10,0.06,0.00,0.20,0.00
03.01.23,06:00:01,0.75,0.10,0.06,0.00,0.25,0.00
03.01.23,08:00:01,0.75,0.10,0.06,0.47,2.36,0.21
03.01.23,09:00:01,0.76,0.10,0.06,15.73,34.97,25.81
03.01.23,10:00:01,0.76,0.10,0.06,27.96,40.10,34.83
03.01.23,11:00:01,0.75,0.10,0.06,30.67,40.78,34.47
03.01.23,12:00:01,0.75,0.10,0.06,32.39,41.06,34.63
03.01.23,13:00:01,0.75,0.10,0.06,33.02,40.84,35.17
03.01.23,14:00:01,0.75,0.10,0.06,32.21,40.44,34.97
03.01.23,15:00:01,0.75,0.10,0.06,30.88,40.27,34.66
03.01.23,16:00:01,0.76,0.10,0.06,20.23,37.41,31.99
03.01.23,17:00:01,0.76,0.11,0.06,3.24,12.87,10.71
03.01.23,18:00:01,0.75,0.11,0.06,0.00,0.22,0.12
03.01.23,19:00:01,0.75,0.10,0.06,0.00,0.21,0.12
03.01.23,20:00:01,0.75,0.11,0.07,0.00,0.24,0.14
03.01.23,21:00:01,0.75,0.11,0.07,0.00,0.26,0.15
03.01.23,22:00:01,0.76,0.10,0.07,0.00,0.28,0.16
03.01.23,23:00:01,0.75,0.10,0.07,0.00,0.28,0.17
04.01.23,00:00:02,0.76,0.11,0.07,0.00,0.28,0.16
04.01.23,01:00:01,0.75,0.10,0.07,0.00,0.27,0.15
04.01.23,02:00:01,0.76,0.11,0.07,0.00,0.25,0.13
04.01.23,03:00:01,0.76,0.11,0.06,0.00,0.22,0.11
04.01.23,04:00:01,0.76,0.11,0.06,0.00,0.18,0.08
04.01.23,05:00:01,0.76,0.10,0.06,0.00,0.15,0.06
04.01.23,06:00:01,0.76,0.10,0.07,0.00,0.14,0.06
04.01.23,07:00:01,0.76,0.11,0.07,0.00,0.15,0.06
04.01.23,08:00:01,0.76,0.11,0.07,0.79,3.96,2.56
04.01.23,09:00:01,0.76,0.11,0.07,13.37,33.25,25.93
04.01.23,10:00:01,0.76,0.11,0.07,26.37,39.37,33.52
04.01.23,11:00:01,0.76,0.11,0.07,31.09,40.63,34.62
