date,time,amp1,amp2,amp3,v1,v2,v3
01.12.22,01:00:01,0.11,0.10,0.05,0.00,0.00,0.00
01.12.22,02:00:01,0.11,0.10,0.05,0.00,0.00,0.00
01.12.22,03:00:01,0.11,0.10,0.05,0.00,0.00,0.00
01.12.22,04:00:01,0.11,0.10,0.06,0.00,0.00,0.00
01.12.22,05:00:01,0.11,0.10,0.05,0.00,0.00,0.00
01.12.22,06:00:01,0.11,0.10,0.06,0.00,0.00,0.00
01.12.22,07:00:01,0.11,0.10,0.05,0.05,0.03,0.00
01.12.22,08:00:01,0.11,0.10,0.06,16.26,15.16,9.63
01.12.22,09:00:01,0.04,0.10,0.05,28.21,37.26,29.66
01.12.22,11:00:01,0.08,0.10,0.05,30.26,42.10,33.07
01.12.22,12:00:01,0.26,0.10,0.05,31.34,41.40,30.88
01.12.22,13:00:01,0.46,0.09,0.05,31.13,40.74,31.86
01.12.22,14:00:01,0.29,0.10,0.05,30.87,41.25,32.89
01.12.22,15:00:01,0.07,0.09,0.05,30.16,40.19,31.70
01.12.22,16:00:01,0.08,0.10,0.05,28.08,36.99,27.87
01.12.22,17:00:01,0.11,0.10,0.05,9.88,12.47,8.06
01.12.22,18:00:01,0.11,0.10,0.06,0.86,0.79,0.19
01.12.22,19:00:01,0.11,0.10,0.05,0.80,0.77,0.02
01.12.22,20:00:01,0.10,0.10,0.06,0.93,0.75,0.01
01.12.22,21:00:01,0.11,0.10,0.05,0.89,0.68,0.00
01.12.22,22:00:01,0.11,0.10,0.06,0.87,0.64,0.03
01.12.22,23:00:01,0.11,0.10,0.06,0.78,0.56,0.03
02.12.22,00:00:01,0.11,0.10,0.05,0.41,0.33,0.00
02.12.22,01:00:01,0.11,0.10,0.05,0.23,0.22,0.00
02.12.22,02:00:01,0.11,0.10,0.06,0.22,0.20,0.00
02.12.22,04:00:01,0.11,0.10,0.06,0.23,0.21,0.00
02.12.22,05:00:01,0.11,0.10,0.06,0.15,0.17,0.00
02.12.22,06:00:01,0.11,0.10,0.06,0.31,0.26,0.00
02.12.22,07:00:01,0.11,0.10,0.06,0.26,0.25,0.00
02.12.22,08:00:01,0.11,0.10,0.06,16.52,19.27,13.88
02.12.22,09:00:01,0.07,0.10,0.06,27.53,38.05,29.92
02.12.22,10:00:01,0.06,0.09,0.05,30.27,41.14,32.54
02.12.22,11:00:01,0.20,0.09,0.06,31.10,41.97,33.34
02.12.22,12:00:01,0.25,0.09,0.05,30.40,42.47,33.75
02.12.22,13:00:01,0.20,0.09,0.05,30.49,42.01,32.97
02.12.22,14:00:01,0.12,0.10,0.05,30.91,41.75,33.53
